county_name,fips_code,active_total,inactive_total,inactive_rate,eligible_black,active_black,inactive_black,total_registered_black,reg_active_rate_black,reg_total_rate_black,inactive_rate_black,eligible_white,active_white,inactive_white,total_registered_white,reg_active_rate_white,reg_total_rate_white,inactive_rate_white,eligible_latinx,active_latinx,inactive_latinx,total_registered_latinx,reg_active_rate_latinx,reg_total_rate_latinx,inactive_rate_latinx
Barbour,1005,15697,1956,0.1108,8929,7171,963,8134.0,0.8031,0.911,0.1184,9301,8131,922,9053.0,0.8742,0.9733,0.1018,444,142,29,171.0,0.3198,0.3851,0.1696
Bullock,1011,6376,803,0.1119,5518,4789,656,5445.0,0.8679,0.9868,0.1205,1949,1475,132,1607.0,0.7568,0.8245,0.0821,186,63,7,70.0,0.3387,0.3763,0.1
Butler,1013,13236,1287,0.0886,6207,5797,700,6497.0,0.9339,1.0467,0.1077,7580,7267,557,7824.0,0.9587,1.0322,0.0712,164,39,7,46.0,0.2378,0.2805,0.1522
Choctaw,1023,9624,1140,0.1059,3722,4088,618,4706.0,1.0983,1.2644,0.1313,5637,5473,505,5978.0,0.9709,1.0605,0.0845,85,18,2,20.0,0.2118,0.2353,0.1
Crenshaw,1041,10010,835,0.077,2425,2414,247,2661.0,0.9955,1.0973,0.0928,7218,7439,551,7990.0,1.0306,1.107,0.069,123,42,13,55.0,0.3415,0.4472,0.2364
Dallas,1047,26569,2942,0.0997,19033,18687,2252,20939.0,0.9818,1.1001,0.1076,8106,7557,618,8175.0,0.9323,1.0085,0.0756,165,53,13,66.0,0.3212,0.4,0.197
Greene,1063,6077,495,0.0753,4645,4907,412,5319.0,1.0564,1.1451,0.0775,1116,1100,72,1172.0,0.9857,1.0502,0.0614,4,17,4,21.0,4.25,5.25,0.1905
Hale,1065,11345,814,0.0669,6158,6498,493,6991.0,1.0552,1.1353,0.0705,4597,4700,302,5002.0,1.0224,1.0881,0.0604,105,29,6,35.0,0.2762,0.3333,0.1714
Lowndes,1085,8811,852,0.0882,5561,6465,660,7125.0,1.1626,1.2812,0.0926,2022,2275,175,2450.0,1.1251,1.2117,0.0714,15,19,8,27.0,1.2667,1.8,0.2963
Macon,1087,13040,3933,0.2317,12121,10381,3596,13977.0,0.8564,1.1531,0.2573,2898,2389,224,2613.0,0.8244,0.9017,0.0857,195,60,21,81.0,0.3077,0.4154,0.2593
Marengo,1091,14199,1510,0.0961,7250,7436,880,8316.0,1.0257,1.147,0.1058,6711,6599,592,7191.0,0.9833,1.0715,0.0823,247,68,12,80.0,0.2753,0.3239,0.15
Montgomery,1101,147706,15877,0.0971,99436,90546,9856,100402.0,0.9106,1.0097,0.0982,56611,50749,5026,55775.0,0.8965,0.9852,0.0901,3184,1602,249,1851.0,0.5031,0.5813,0.1345
Perry,1105,6934,689,0.0904,4235,5062,486,5548.0,1.1953,1.31,0.0876,1908,1826,183,2009.0,0.957,1.0529,0.0911,17,10,6,16.0,0.5882,0.9412,0.375
Pike,1109,21078,3437,0.1402,9418,7990,1497,9487.0,0.8484,1.0073,0.1578,15040,12575,1781,14356.0,0.8361,0.9545,0.1241,430,133,47,180.0,0.3093,0.4186,0.2611
Russell,1113,36538,9996,0.2148,19969,16835,4692,21527.0,0.8431,1.078,0.218,20711,18046,4483,22529.0,0.8713,1.0878,0.199,1955,740,370,1110.0,0.3785,0.5678,0.3333
Sumter,1119,8221,1409,0.1463,6453,6187,1093,7280.0,0.9588,1.1282,0.1501,2593,1969,295,2264.0,0.7594,0.8731,0.1303,82,7,6,13.0,0.0854,0.1585,0.4615
Wilcox,1131,8220,333,0.0389,5257,5851,256,6107.0,1.113,1.1617,0.0419,2386,2323,71,2394.0,0.9736,1.0034,0.0297,1,9,0,9.0,9.0,9.0,0.0
